"horizon_f","measure","intercept","slope_delta_steo","r_squared","n_obs","target_delta_steo","predicted_delta_aeo"
1,"delta_steo_ave",1.26555887525139,0.948597362817307,0.387707465423668,8,-15.11125,-13.0689330236216
2,"delta_steo_ave",0.0144641359969106,0.89222299748922,0.57672025264057,8,-15.11125,-13.4681406348121
3,"delta_steo_ave",0.835296503275094,0.540189715073105,0.351700335695777,8,-15.11125,-7.32764532862337
4,"delta_steo_ave",1.03561810441388,0.388358873874239,0.207802734117038,8,-15.11125,-4.83296992841821
5,"delta_steo_ave",1.21944305824991,0.262255940665873,0.100537685241209,8,-15.11125,-2.74357202513727
6,"delta_steo_ave",1.22000329888381,0.187977352844602,0.0518345616475043,8,-15.11125,-1.62056947428918
7,"delta_steo_ave",1.19510515373786,0.125284578212411,0.0216845457687625,8,-15.11125,-0.698101428774426
8,"delta_steo_ave",1.05292659833808,0.112566122078761,0.0173544223951679,8,-15.11125,-0.648088213924597
9,"delta_steo_ave",0.973885348176661,0.0821363480036866,0.00930959316553529,8,-15.11125,-0.267297540594047
10,"delta_steo_ave",0.873440945837573,0.0302201678570244,0.00118721074698555,8,-15.11125,0.416776434308114
11,"delta_steo_ave",0.772997514233596,-0.0195533314600352,0.000467094566433121,8,-15.11125,1.06847279425905
12,"delta_steo_ave",0.605514776779363,-0.0314985026547559,0.0011224066248997,8,-15.11125,1.08149652502104
13,"delta_steo_ave",0.371946998077416,-0.0477362423264167,0.00249788147657471,8,-15.11125,1.09330128993248
14,"delta_steo_ave",0.0284414118632034,-0.0158911985921088,0.000273851644429565,8,-15.11125,0.268577286588207
15,"delta_steo_ave",-0.249476857453565,-0.0536180183889281,0.00302297064010019,8,-15.11125,0.560758422926124
16,"delta_steo_ave",-0.537587769404541,-0.110945917136202,0.011845256476504,8,-15.11125,1.13894372091989
17,"delta_steo_ave",-0.83286076961242,-0.178632061564201,0.0277062856067386,8,-15.11125,1.86649297069962
18,"delta_steo_ave",-1.25605704600376,-0.189271975475125,0.0275102106245559,8,-15.11125,1.60407909339473
19,"delta_steo_ave",-1.64789097090752,-0.22358844795022,0.0402840759264131,8,-15.11125,1.73080996318024
20,"delta_steo_ave",-2.00312851043964,-0.314582916387714,0.0662985564091634,8,-15.11125,2.7506125848242
21,"delta_steo_ave",-2.57735921919813,-0.294713205765121,0.0557300253836706,8,-15.11125,1.87612571142005
22,"delta_steo_ave",-3.05585362311247,-0.34317156883328,0.0701950704836112,8,-15.11125,2.12989774641942
23,"delta_steo_ave",-3.57936989351506,-0.367061047819438,0.0701580706262538,8,-15.11125,1.96738136534642
24,"delta_steo_ave",-4.37125862761535,-0.352532446553858,0.0526073591037629,8,-15.11125,0.955947305371634
25,"delta_steo_ave",-2.67804002831053,0.462168924190463,0.111974935334126,6,-15.11125,-9.66199018398366
1,"delta_steo_curr",0.743082583597664,0.681734012753032,0.256860036235233,8,-16.7225,-10.6572144446649
2,"delta_steo_curr",-0.661547871166399,0.697891220053616,0.452605808474771,8,-16.7225,-12.332033798513
3,"delta_steo_curr",0.445009110898635,0.416699875283976,0.268443676993671,8,-16.7225,-6.52325455353765
4,"delta_steo_curr",0.756036757159222,0.29926872738375,0.158282806601392,8,-16.7225,-4.24848453651554
5,"delta_steo_curr",1.02730979008531,0.203117623746317,0.0773570152021314,8,-16.7225,-2.36932467301247
6,"delta_steo_curr",1.08572235438337,0.14453426414246,0.0393075775744424,8,-16.7225,-1.33125187773891
7,"delta_steo_curr",1.129524695107,0.0889875040807726,0.0140326414330212,8,-16.7225,-0.358568841883717
8,"delta_steo_curr",0.987290444279565,0.0820149045084737,0.0118169826712572,8,-16.7225,-0.384203796363386
9,"delta_steo_curr",0.933686579294523,0.0574817182002899,0.0058485160266319,8,-16.7225,-0.0275514533098241
10,"delta_steo_curr",0.878422385182484,0.0150787242008427,0.00037913121947507,8,-16.7225,0.626268419733893
11,"delta_steo_curr",0.852182482119519,-0.0350575308772818,0.00192598197630462,8,-16.7225,1.43843204221486
12,"delta_steo_curr",0.715410160829982,-0.0510510487212295,0.00378186495361241,8,-16.7225,1.56911132307074
13,"delta_steo_curr",0.508757129641556,-0.0682382829936294,0.00654723346026559,8,-16.7225,1.64987181700252
14,"delta_steo_curr",0.131277222622458,-0.0403062722867465,0.00225981865438706,8,-16.7225,0.805298860937576
15,"delta_steo_curr",-0.110700298669481,-0.0720744764311497,0.007006508941063,8,-16.7225,1.09456513345042
16,"delta_steo_curr",-0.320482285638667,-0.127629003339473,0.0201069803053555,8,-16.7225,1.81379372270568
17,"delta_steo_curr",-0.517058005870067,-0.195129672098112,0.0424064964222864,8,-16.7225,2.74599793579061
18,"delta_steo_curr",-0.938400060031429,-0.201546352385208,0.0400126622560404,8,-16.7225,2.4319588177302
19,"delta_steo_curr",-1.28373568035051,-0.234681736425363,0.0569271637354555,8,-16.7225,2.64072965702262
20,"delta_steo_curr",-1.50410033074606,-0.326098724571497,0.0913814997573975,8,-16.7225,3.9490855909008
21,"delta_steo_curr",-2.09527728975998,-0.309976017637949,0.0790810658717379,8,-16.7225,3.08829666519062
22,"delta_steo_curr",-2.51894359563332,-0.353440815206583,0.0955088667770594,8,-16.7225,3.39147043665876
23,"delta_steo_curr",-2.9673034874315,-0.389644500397612,0.101406178437576,8,-16.7225,3.54852667046756
24,"delta_steo_curr",-3.75939229461745,-0.381598570159395,0.0790656900728965,8,-16.7225,2.62188979487304
25,"delta_steo_curr",-1.81979448929538,0.216243574747111,0.0399866266154383,6,-16.7225,-5.43592766800394
1,"delta_steo_next",2.59558589556851,1.13950367823946,0.502132078804544,8,-13.5,-12.7877137606643
2,"delta_steo_next",1.29160284524848,0.990790543746638,0.63830500395156,8,-13.5,-12.0840694953311
3,"delta_steo_next",1.60583856633348,0.608203149418918,0.400150769728421,8,-13.5,-6.60490395082191
4,"delta_steo_next",1.58944146367061,0.437698177020048,0.236908385793613,8,-13.5,-4.31948392610004
5,"delta_steo_next",1.59390836713955,0.294111508213013,0.113487601044455,8,-13.5,-2.37659699373613
6,"delta_steo_next",1.48792238844171,0.212317506761166,0.0593507415223358,8,-13.5,-1.37836395283403
7,"delta_steo_next",1.37028121935415,0.152000998129085,0.0286479892644904,8,-13.5,-0.681732255388495
8,"delta_steo_next",1.211270593685,0.13362474213678,0.0219489970980142,8,-13.5,-0.592663425161525
9,"delta_steo_next",1.08833434786555,0.100878277577658,0.0126037972364868,8,-13.5,-0.273522399432834
10,"delta_steo_next",0.912748349725776,0.0457913040750191,0.00244650588731859,8,-13.5,0.294565744713019
11,"delta_steo_next",0.73588802266546,0.00653102658437877,4.67705374553679e-05,8,-13.5,0.647719163776347
12,"delta_steo_next",0.548237819849548,0.00277023530462306,7.79201696175183e-06,8,-13.5,0.510839643237137
13,"delta_steo_next",0.289356780665697,-0.00884990141635447,7.70545699704224e-05,8,-13.5,0.408830449786482
14,"delta_steo_next",-0.00717030864887408,0.0221928267836074,0.000479372875683114,8,-13.5,-0.306773470227574
15,"delta_steo_next",-0.340133506287906,-0.0164740450439114,0.000256129189723652,8,-13.5,-0.117733898195103
16,"delta_steo_next",-0.715248299537807,-0.0648246207861517,0.00362950965450523,8,-13.5,0.159884081075241
17,"delta_steo_next",-1.11412609371439,-0.119184096884484,0.0110698636788598,8,-13.5,0.494859214226147
18,"delta_steo_next",-1.55167294920442,-0.133723125044369,0.0123248172076089,8,-13.5,0.253589238894565
19,"delta_steo_next",-1.99553221435283,-0.162836626520263,0.0191771931816989,8,-13.5,0.202762243670714
20,"delta_steo_next",-2.49036184247531,-0.23495506846354,0.0331932369746832,8,-13.5,0.68153158178248
21,"delta_steo_next",-3.03588279618108,-0.21372024408441,0.0263043477640739,8,-13.5,-0.150659501041538
22,"delta_steo_next",-3.58630746393396,-0.259584498785168,0.0360485408722262,8,-13.5,-0.0819167303341892
23,"delta_steo_next",-4.15210371951177,-0.261077900866761,0.0318557202197392,8,-13.5,-0.627552057810501
24,"delta_steo_next",-4.92472740788822,-0.240201962668746,0.0219203548790535,8,-13.5,-1.68200091186015
25,"delta_steo_next",-3.42054923911279,0.77837438863723,0.233238372067672,6,-13.5,-13.9286034857154
