p,avg_sing_hou_bbl,heco_lsfo_bbl,r1_lsfo_bbl
55,61.0875700760223,82.4317824004181,56.5313278174573
56,62.3886244595226,83.3930161976498,59.0025748246716
57,63.6896788430229,84.3542499948815,61.4738218318859
58,64.9907332265232,85.3154837921131,63.9450688391002
59,66.2917876100235,86.2767175893448,66.4163158463145
60,67.5928419935238,87.2379513865765,68.8875628535287
61,68.8938963770241,88.1991851838082,71.358809860743
62,70.1949507605244,89.1604189810398,73.8300568679572
63,71.4960051440247,90.1216527782715,76.3013038751716
64,72.797059527525,91.0828865755031,78.7725508823858
65,74.0981139110253,92.0441203727348,81.2437978896001
66,75.3991682945256,93.0053541699665,83.7150448968144
67,76.7002226780259,93.9665879671981,86.1862919040287
68,78.0012770615262,94.9278217644298,88.657538911243
69,79.3023314450265,95.8890555616614,91.1287859184573
70,80.6033858285268,96.8502893588931,93.6000329256715
71,81.9044402120271,97.8115231561248,96.0712799328858
72,83.2054945955274,98.7727569533565,98.5425269401001
73,84.5065489790277,99.7339907505881,101.013773947314
74,85.807603362528,100.69522454782,103.485020954529
75,87.1086577460283,101.656458345051,105.956267961743
76,88.4097121295286,102.617692142283,108.427514968957
77,89.7107665130289,103.578925939515,110.898761976171
78,91.0118208965292,104.540159736746,113.370008983386
79,92.3128752800295,105.501393533978,115.8412559906
80,93.6139296635298,106.46262733121,118.312502997814
81,94.9149840470301,107.423861128441,120.783750005029
82,96.2160384305304,108.385094925673,123.254997012243
83,97.5170928140307,109.346328722905,125.726244019457
84,98.818147197531,110.307562520136,128.197491026671
85,100.119201581031,111.268796317368,130.668738033886
86,101.420255964532,112.2300301146,133.1399850411
87,102.721310348032,113.191263911831,135.611232048314
88,104.022364731532,114.152497709063,138.082479055529
89,105.323419115033,115.113731506295,140.553726062743
90,106.624473498533,116.074965303526,143.024973069957
91,107.925527882033,117.036199100758,145.496220077171
92,109.226582265533,117.99743289799,147.967467084386
93,110.527636649034,118.958666695221,150.4387140916
94,111.828691032534,119.919900492453,152.909961098814
95,113.129745416034,120.881134289685,155.381208106029
96,114.430799799535,121.842368086916,157.852455113243
97,115.731854183035,122.803601884148,160.323702120457
98,117.032908566535,123.76483568138,162.794949127671
99,118.333962950035,124.726069478611,165.266196134886
100,119.635017333536,125.687303275843,167.7374431421
101,120.936071717036,126.648537073075,170.208690149314
102,122.237126100536,127.609770870306,172.679937156528
103,123.538180484037,128.571004667538,175.151184163743
104,124.839234867537,129.53223846477,177.622431170957
105,126.140289251037,130.493472262001,180.093678178171
106,127.441343634538,131.454706059233,182.564925185386
107,128.742398018038,132.415939856465,185.0361721926
108,130.043452401538,133.377173653696,187.507419199814
109,131.344506785039,134.338407450928,189.978666207028
110,132.645561168539,135.29964124816,192.449913214243
111,133.946615552039,136.260875045391,194.921160221457
112,135.247669935539,137.222108842623,197.392407228671
113,136.54872431904,138.183342639855,199.863654235885
114,137.84977870254,139.144576437086,202.3349012431
115,139.15083308604,140.105810234318,204.806148250314
116,140.451887469541,141.06704403155,207.277395257528
117,141.752941853041,142.028277828781,209.748642264743
118,143.053996236541,142.989511626013,212.219889271957
119,144.355050620042,143.950745423245,214.691136279171
120,145.656105003542,144.911979220476,217.162383286385
121,146.957159387042,145.873213017708,219.6336302936
122,148.258213770542,146.83444681494,222.104877300814
123,149.559268154043,147.795680612171,224.576124308028
124,150.860322537543,148.756914409403,227.047371315243
125,152.161376921043,149.718148206635,229.518618322457
126,153.462431304544,150.679382003866,231.989865329671
127,154.763485688044,151.640615801098,234.461112336886
128,156.064540071544,152.60184959833,236.9323593441
129,157.365594455045,153.563083395561,239.403606351314
130,158.666648838545,154.524317192793,241.874853358528
131,159.967703222045,155.485550990025,244.346100365743
132,161.268757605545,156.446784787256,246.817347372957
133,162.569811989046,157.408018584488,249.288594380171
134,163.870866372546,158.36925238172,251.759841387385
135,165.171920756046,159.330486178951,254.2310883946
136,166.472975139547,160.291719976183,256.702335401814
137,167.774029523047,161.252953773415,259.173582409028
138,169.075083906547,162.214187570646,261.644829416243
139,170.376138290047,163.175421367878,264.116076423457
140,171.677192673548,164.13665516511,266.587323430671
141,172.978247057048,165.097888962341,269.058570437886
142,174.279301440548,166.059122759573,271.5298174451
143,175.580355824049,167.020356556805,274.001064452314
144,176.881410207549,167.981590354036,276.472311459528
145,178.182464591049,168.942824151268,278.943558466742
146,179.48351897455,169.9040579485,281.414805473957
147,180.78457335805,170.865291745731,283.886052481171
148,182.08562774155,171.826525542963,286.357299488385
149,183.38668212505,172.787759340195,288.8285464956
150,184.687736508551,173.748993137426,291.299793502814
151,185.988790892051,174.710226934658,293.771040510028
152,187.289845275551,175.67146073189,296.242287517243
153,188.590899659052,176.632694529121,298.713534524457
154,189.891954042552,177.593928326353,301.184781531671
155,191.193008426052,178.555162123585,303.656028538885
156,192.494062809553,179.516395920816,306.1272755461
157,193.795117193053,180.477629718048,308.598522553314
158,195.096171576553,181.43886351528,311.069769560528
159,196.397225960054,182.400097312511,313.541016567743
160,197.698280343554,183.361331109743,316.012263574957
